airfoil,degree,rms_error_percent_chord,max_error_percent_chord,upper_coefficients,lower_coefficients,te_thickness,fits_root_bounds,fits_outboard_bounds,root_exceedances,outboard_exceedances,source_path,source,source_url,found_in_repo
FX 76-MP-140,4,0.08532928822035975,0.18778960614738993,"[0.247614, 0.399643, 0.329557, 0.505814, 0.290573]","[-0.134508, 0.044851, 0.001173, -0.016170, 0.255926]",0.002456717593482689,,,"degree_mismatch: fit has 5 coefficients, bounds have 7","degree_mismatch: fit has 5 coefficients, bounds have 7",data/airfoils/fx76mp140.dat,repo:data/airfoils/fx76mp140.dat,,True
FX 76-MP-140,5,0.03843300153988885,0.08997282754073518,"[0.229569, 0.448078, 0.183940, 0.626173, 0.284959, 0.377842]","[-0.142998, 0.045126, -0.060680, 0.093380, -0.036922, 0.283648]",0.0017994565508147038,,,"degree_mismatch: fit has 6 coefficients, bounds have 7","degree_mismatch: fit has 6 coefficients, bounds have 7",data/airfoils/fx76mp140.dat,repo:data/airfoils/fx76mp140.dat,,True
FX 76-MP-140,6,0.03355277952486586,0.08802525645934395,"[0.233013, 0.394489, 0.317836, 0.331897, 0.589002, 0.249189, 0.403292]","[-0.147546, 0.036463, -0.085616, 0.112067, -0.049178, 0.082112, 0.252677]",0.0013431665447503434,True,False,,upper[1]=0.394489 > 0.380000; upper[3]=0.331897 > 0.319223; upper[4]=0.589002 > 0.485202; upper[6]=0.403292 > 0.249342; lower[6]=0.252677 > 0.132998,data/airfoils/fx76mp140.dat,repo:data/airfoils/fx76mp140.dat,,True
FX 76-MP-140,7,0.018694907196592118,0.050380389194056845,"[0.223681, 0.424645, 0.179891, 0.624675, 0.074542, 0.797112, 0.103541, 0.464959]","[-0.149559, 0.021246, -0.083772, 0.086749, -0.027305, 0.041339, 0.081262, 0.255302]",0.0009741196733657805,,,"degree_mismatch: fit has 8 coefficients, bounds have 7","degree_mismatch: fit has 8 coefficients, bounds have 7",data/airfoils/fx76mp140.dat,repo:data/airfoils/fx76mp140.dat,,True
DAE11,4,0.10719285595850658,0.2813974703194695,"[0.221693, 0.358243, 0.356471, 0.393328, 0.079779]","[-0.112477, 0.060322, -0.059250, 0.117751, 0.040146]",0.001530496197546333,,,"degree_mismatch: fit has 5 coefficients, bounds have 7","degree_mismatch: fit has 5 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae11.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae11.dat,False
DAE11,5,0.07063327421320521,0.2359379395523581,"[0.204599, 0.408758, 0.183697, 0.605559, 0.134038, 0.190352]","[-0.121334, 0.065494, -0.100025, 0.124375, 0.011263, 0.075913]",0.00034435629223550954,,,"degree_mismatch: fit has 6 coefficients, bounds have 7","degree_mismatch: fit has 6 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae11.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae11.dat,False
DAE11,6,0.05523531291817223,0.19791403385378245,"[0.197377, 0.412914, 0.158419, 0.555449, 0.281998, 0.256423, 0.143946]","[-0.131072, 0.086571, -0.182641, 0.232362, -0.142734, 0.178743, 0.005850]",0.00011226098954160031,True,False,,upper[1]=0.412914 > 0.380000; upper[3]=0.555449 > 0.319223; lower[4]=-0.142734 < -0.100000,docs/research/historical_airfoil_cst_coverage/airfoils/dae11.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae11.dat,False
DAE11,7,0.05264672827530971,0.19527653860244815,"[0.197384, 0.381690, 0.232386, 0.381027, 0.445454, 0.264061, 0.249519, 0.133595]","[-0.136352, 0.087984, -0.204345, 0.241432, -0.163958, 0.154730, 0.032156, 0.058364]",0.0006165082625494706,,,"degree_mismatch: fit has 8 coefficients, bounds have 7","degree_mismatch: fit has 8 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae11.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae11.dat,False
DAE21,4,0.08480465170794803,0.2392087107225575,"[0.248035, 0.324353, 0.356289, 0.368278, 0.161530]","[-0.100261, 0.074930, -0.023616, 0.118827, 0.099419]",0.00023058540424872106,,,"degree_mismatch: fit has 5 coefficients, bounds have 7","degree_mismatch: fit has 5 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae21.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae21.dat,False
DAE21,5,0.05379041304951164,0.1705820971007964,"[0.237362, 0.354582, 0.243830, 0.490760, 0.221307, 0.211689]","[-0.112574, 0.097200, -0.111428, 0.201025, -0.021872, 0.169394]",0.0005094649092169275,,,"degree_mismatch: fit has 6 coefficients, bounds have 7","degree_mismatch: fit has 6 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae21.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae21.dat,False
DAE21,6,0.04778033929876175,0.14510885163995002,"[0.240624, 0.318811, 0.323892, 0.298144, 0.475202, 0.167789, 0.239342]","[-0.118351, 0.094269, -0.127734, 0.182120, -0.017213, 0.107973, 0.122998]",0.0,True,True,,,docs/research/historical_airfoil_cst_coverage/airfoils/dae21.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae21.dat,False
DAE21,7,0.03920398102218129,0.1535367049854731,"[0.239092, 0.316301, 0.296573, 0.356662, 0.315773, 0.434975, 0.152184, 0.246168]","[-0.126149, 0.114658, -0.220361, 0.342781, -0.268451, 0.327648, -0.065123, 0.187458]",0.00016855706691046123,,,"degree_mismatch: fit has 8 coefficients, bounds have 7","degree_mismatch: fit has 8 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae21.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae21.dat,False
DAE31,4,0.08792490590496757,0.30068797706516176,"[0.237039, 0.348340, 0.265698, 0.460901, 0.187573]","[-0.115987, 0.107698, -0.034172, 0.163528, 0.085987]",0.0,,,"degree_mismatch: fit has 5 coefficients, bounds have 7","degree_mismatch: fit has 5 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae31.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae31.dat,False
DAE31,5,0.061505120269179925,0.2232593813739003,"[0.229866, 0.356072, 0.233090, 0.426835, 0.340094, 0.213389]","[-0.129565, 0.126618, -0.118797, 0.232737, -0.005780, 0.168293]",0.0007696904454488709,,,"degree_mismatch: fit has 6 coefficients, bounds have 7","degree_mismatch: fit has 6 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae31.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae31.dat,False
DAE31,6,0.05113323191780763,0.1801842663268661,"[0.230733, 0.330889, 0.286501, 0.309223, 0.423764, 0.298715, 0.230621]","[-0.138559, 0.133720, -0.170458, 0.270414, -0.070197, 0.174917, 0.097008]",0.0,False,True,upper[5]=0.298715 > 0.266423; lower[1]=0.133720 > 0.104269; lower[3]=0.270414 > 0.242362,,docs/research/historical_airfoil_cst_coverage/airfoils/dae31.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae31.dat,False
DAE31,7,0.03847714282703353,0.14150499290887666,"[0.224925, 0.349615, 0.200506, 0.483087, 0.130453, 0.580134, 0.180250, 0.268694]","[-0.146951, 0.149164, -0.250660, 0.395527, -0.266249, 0.329872, -0.022867, 0.164265]",7.270118246354471e-05,,,"degree_mismatch: fit has 8 coefficients, bounds have 7","degree_mismatch: fit has 8 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae31.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae31.dat,False
DAE41,4,0.030552822316722933,0.1044638048587612,"[0.203003, 0.243800, 0.221693, 0.258075, 0.118392]","[-0.124129, -0.050251, -0.086040, -0.033324, -0.001465]",0.0,,,"degree_mismatch: fit has 5 coefficients, bounds have 7","degree_mismatch: fit has 5 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae41.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae41.dat,False
DAE41,5,0.019850320852707836,0.0733948812224567,"[0.201401, 0.242464, 0.215554, 0.255445, 0.214709, 0.125022]","[-0.129533, -0.039872, -0.127569, 0.008673, -0.087150, 0.029362]",0.00011285035354520423,,,"degree_mismatch: fit has 6 coefficients, bounds have 7","degree_mismatch: fit has 6 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae41.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae41.dat,False
DAE41,6,0.017410554921685972,0.05998775575436644,"[0.201906, 0.233089, 0.231347, 0.224515, 0.253830, 0.191304, 0.129841]","[-0.131993, -0.041152, -0.134709, -0.001383, -0.083607, -0.026947, 0.011098]",0.0,True,True,,,docs/research/historical_airfoil_cst_coverage/airfoils/dae41.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae41.dat,False
DAE41,7,0.012873519455242365,0.042692559453283256,"[0.201419, 0.231423, 0.223460, 0.242905, 0.218049, 0.251591, 0.173977, 0.132183]","[-0.135362, -0.032213, -0.175361, 0.068208, -0.194514, 0.066463, -0.097695, 0.039102]",5.1120573001633634e-05,,,"degree_mismatch: fit has 8 coefficients, bounds have 7","degree_mismatch: fit has 8 coefficients, bounds have 7",docs/research/historical_airfoil_cst_coverage/airfoils/dae41.dat,MIT Drela HPA airfoil index,https://web.mit.edu/drela/Public/web/hpa/airfoils/dae41.dat,False
