Y_Position_m,Outer_Diameter_m,Inner_Diameter_m,Wall_Thickness_m,Force_Per_Span_N_m,Deflection_m,Bending_Stress_Pa
0.00000000e+00,1.05709500e-01,1.01479908e-01,2.11479607e-03,9.90765455e+01,0.00000000e+00,4.53392635e+08
2.79661017e-01,1.05282086e-01,1.00624994e-01,2.32854605e-03,9.80586136e+01,1.37668517e-03,4.00918367e+08
5.59322034e-01,1.04840156e-01,9.97700804e-02,2.53503781e-03,9.70829601e+01,5.35866407e-03,3.58356148e+08
8.38983051e-01,1.04383617e-01,9.89151667e-02,2.73422497e-03,9.61312093e+01,1.16767254e-02,3.23127441e+08
1.11864407e+00,1.03912375e-01,9.80602530e-02,2.92606118e-03,9.52117163e+01,2.01087659e-02,2.93476087e+08
1.39830508e+00,1.03426339e-01,9.72053392e-02,3.11050008e-03,9.43252163e+01,3.04683353e-02,2.68164646e+08
1.67796610e+00,1.02925416e-01,9.63504255e-02,3.28749529e-03,9.34724283e+01,4.25966198e-02,2.46296054e+08
1.95762712e+00,1.02409513e-01,9.54955118e-02,3.45700047e-03,9.26540595e+01,5.63566607e-02,2.27204122e+08
2.23728814e+00,1.01878537e-01,9.46405981e-02,3.61896923e-03,9.18708076e+01,7.16290793e-02,2.10383761e+08
2.51694915e+00,1.01332395e-01,9.37856843e-02,3.77335523e-03,9.11228047e+01,8.83088455e-02,1.95445074e+08
2.79661017e+00,1.00770995e-01,9.29307706e-02,3.92011210e-03,9.04076093e+01,1.06302790e-01,1.82082302e+08
3.07627119e+00,1.00194244e-01,9.20758569e-02,4.05919347e-03,8.97219709e+01,1.25527655e-01,1.70052305e+08
3.35593220e+00,9.96020491e-02,9.12209432e-02,4.19055298e-03,8.90625039e+01,1.45908553e-01,1.59159323e+08
3.63559322e+00,9.89943180e-02,9.03660294e-02,4.31414427e-03,8.84258079e+01,1.67377719e-01,1.49243991e+08
3.91525424e+00,9.83709577e-02,8.95111157e-02,4.42992098e-03,8.78088584e+01,1.89873500e-01,1.40175266e+08
4.19491525e+00,9.77318754e-02,8.86562020e-02,4.53783674e-03,8.72074554e+01,2.13339527e-01,1.31844423e+08
4.47457627e+00,9.70769786e-02,8.78012882e-02,4.63784519e-03,8.65863481e+01,2.37724021e-01,1.24160493e+08
4.75423729e+00,9.64061744e-02,8.69463745e-02,4.72989996e-03,8.58800863e+01,2.62979220e-01,1.17046710e+08
5.03389831e+00,9.57193702e-02,8.60914608e-02,4.81395470e-03,8.50335329e+01,2.89060891e-01,1.10437686e+08
5.31355932e+00,9.50164732e-02,8.52365471e-02,4.88996304e-03,8.40780535e+01,3.15927911e-01,1.04277225e+08
5.59322034e+00,9.42973906e-02,8.43816333e-02,4.95787862e-03,8.30822414e+01,3.43541914e-01,9.85167083e+07
5.87288136e+00,9.35620298e-02,8.35267196e-02,5.01765507e-03,8.20936617e+01,3.71866978e-01,9.31139048e+07
6.15254237e+00,9.28102980e-02,8.26718059e-02,5.06924603e-03,8.11425046e+01,4.00869358e-01,8.80320317e+07
6.43220339e+00,9.20421025e-02,8.18168922e-02,5.11260515e-03,8.02491335e+01,4.30517244e-01,8.32389740e+07
6.71186441e+00,9.12573505e-02,8.09619784e-02,5.14768604e-03,7.94262987e+01,4.60780560e-01,7.87066418e+07
6.99152542e+00,9.04559494e-02,8.01070647e-02,5.17444236e-03,7.86505739e+01,4.91630778e-01,7.44104193e+07
7.27118644e+00,8.96378065e-02,7.92521510e-02,5.19282774e-03,7.78543571e+01,5.23040758e-01,7.03286340e+07
7.55084746e+00,8.88028289e-02,7.83972373e-02,5.20279581e-03,7.69991773e+01,5.54984606e-01,6.64420352e+07
7.83050847e+00,8.79509240e-02,7.75423235e-02,5.20430022e-03,7.61030597e+01,5.87437545e-01,6.27333788e+07
8.11016949e+00,8.70819990e-02,7.66874098e-02,5.19729459e-03,7.51920911e+01,6.20375800e-01,5.91871661e+07
8.38983051e+00,8.61959612e-02,7.58324961e-02,5.18173257e-03,7.42991740e+01,6.53776492e-01,5.57894886e+07
8.66949153e+00,8.52927180e-02,7.49775824e-02,5.15756780e-03,7.34521298e+01,6.87617542e-01,5.25279334e+07
8.94915254e+00,8.43721764e-02,7.41226686e-02,5.12475391e-03,7.26547546e+01,7.21877588e-01,4.93915153e+07
9.22881356e+00,8.34342440e-02,7.32677549e-02,5.08324453e-03,7.19002330e+01,7.56535899e-01,4.63706000e+07
9.50847458e+00,8.24788278e-02,7.24128412e-02,5.03299331e-03,7.11561887e+01,7.91572311e-01,4.34568051e+07
9.78813559e+00,8.15058352e-02,7.15579274e-02,4.97395388e-03,7.03849210e+01,8.26967163e-01,4.06428664e+07
1.00677966e+01,8.05151735e-02,7.07030137e-02,4.90607988e-03,6.95768536e+01,8.62701241e-01,3.79225089e+07
1.03474576e+01,7.95067499e-02,6.98481000e-02,4.82932494e-03,6.87329661e+01,8.98755728e-01,3.52903840e+07
1.06271186e+01,7.84804717e-02,6.89931863e-02,4.74364270e-03,6.78048096e+01,9.35112163e-01,3.27420202e+07
1.09067797e+01,7.74362462e-02,6.81382725e-02,4.64898681e-03,6.67089873e+01,9.71752402e-01,3.02736581e+07
1.11864407e+01,7.63739806e-02,6.72833588e-02,4.54531089e-03,6.54722868e+01,1.00865859e+00,2.78820475e+07
1.14661017e+01,7.52935823e-02,6.64284451e-02,4.43256858e-03,6.42519370e+01,1.04581311e+00,2.55645741e+07
1.17457627e+01,7.41949584e-02,6.55735314e-02,4.31071353e-03,6.30921714e+01,1.08319859e+00,2.33197673e+07
1.20254237e+01,7.30780164e-02,6.47186176e-02,4.17969936e-03,6.18305613e+01,1.12079789e+00,2.11476028e+07
1.23050847e+01,7.19426633e-02,6.38637039e-02,4.03947971e-03,6.03912237e+01,1.15859405e+00,1.90493138e+07
1.25847458e+01,7.07888066e-02,6.30087902e-02,3.89000823e-03,5.89595837e+01,1.19657034e+00,1.70274731e+07
1.28644068e+01,6.96163535e-02,6.21538765e-02,3.73123854e-03,5.75885930e+01,1.23471029e+00,1.50868802e+07
1.31440678e+01,6.84252113e-02,6.12989627e-02,3.56312428e-03,5.56830019e+01,1.27299772e+00,1.32347173e+07
1.34237288e+01,6.72152872e-02,6.04440490e-02,3.38561910e-03,5.26955568e+01,1.31141680e+00,1.14781371e+07
1.37033898e+01,6.59864885e-02,5.95891353e-02,3.19867663e-03,4.90780571e+01,1.34995214e+00,9.82139083e+06
1.39830508e+01,6.47387226e-02,5.87342216e-02,3.00225050e-03,4.55227555e+01,1.38858884e+00,8.26641031e+06
1.42627119e+01,6.34718965e-02,5.78793078e-02,2.79629436e-03,4.20846115e+01,1.42731252e+00,6.81593456e+06
1.45423729e+01,6.21859178e-02,5.70243941e-02,2.58076183e-03,3.85445437e+01,1.46610939e+00,5.47524791e+06
1.48220339e+01,6.08806935e-02,5.61694804e-02,2.35560656e-03,3.47942956e+01,1.50496634e+00,4.25182928e+06
1.51016949e+01,5.95561310e-02,5.53145666e-02,2.12078219e-03,3.07987986e+01,1.54387101e+00,3.15462400e+06
1.53813559e+01,5.82121376e-02,5.44596529e-02,1.87624234e-03,2.65308797e+01,1.58281197e+00,2.19354238e+06
1.56610169e+01,5.68486205e-02,5.36047392e-02,1.62194066e-03,2.19752907e+01,1.62177888e+00,1.37871316e+06
1.59406780e+01,5.54654870e-02,5.27498255e-02,1.35783078e-03,1.71490273e+01,1.66076264e+00,7.18909259e+05
1.62203390e+01,5.40626444e-02,5.18949117e-02,1.08386635e-03,1.32210879e+01,1.69975565e+00,2.27284673e+05
1.65000000e+01,5.26400000e-02,5.10399980e-02,8.00000992e-04,1.40073141e+01,1.73875230e+00,0.00000000e+00
